,Genus,Animal,Height (cm),Weight (kg),Color,Lifespan (years),Diet,Habitat,Predators,Average Speed (km/h),Countries Found,Conservation Status,Family,Gestation Period (days),Top Speed (km/h),Social Structure,Offspring per Birth
41,Galliformes,Galliformes,?,?,Varies,?,Omnivore,Varies,Varies,?,Worldwide,Varies,Phasianidae,?,?,Varies,?
42,Gaur,Gaur,180-300,1300-600,Dark Brown/ Black,20-25,Herbivore,Grasslands/ Forests,Tigers/ Leopards,30-40,Southeast Asia/ South Asia,Vulnerable,Bovidae,275-280,30-40,Herd-based,1
43,Gecko,Leaf-tailed Gecko,25,250,Various,10-15,Insectivore,Madagascar/ Rainforests,Snakes/ Birds,0.8-1,Madagascar,Not Evaluated,Gekkonidae,45-60,?,Solitary,1-2
44,Gerenuk,Gerenuk,105-80,28-52,White/ Brown,10-8,Herbivore,Savannas/ Scrublands,Lions/ Leopards,55,Horn of Africa/ Eastern Africa,Near Threatened,Bovidae,170-215,95,Solitary,1
45,Gharial,Gharial,600,1500,Brownish-gray,40-60,Carnivore,Rivers/ Lakes,Tigers/ Crocodiles,32,Indian subcontinent,Critically Endangered,Gavialidae,123-94,32,Solitary,20-95
46,Gorilla,Western Lowland Gorilla/ Eastern Gorilla/ Western Gorilla/ Mountain Gorilla,120-200,181-73,Brown/ Black,30-50,Herbivore,Mountains/ Rainforests,Leopards/ Humans,40,Central Africa/ Democratic Republic of Congo/ Uganda,Critically Endangered/ Endangered,Hominidae,220-270,40,Group-based/ Social groups,1
47,Hagfish,Hagfish,127,0.6-0.7,Pinkish-gray/ Gray/ Pink,30-300,Scavenger/ Carnivore,Ocean Floor/ Deep-sea,Various Predators/ Not Applicable,0.8,Oceans worldwide/ Worldwide,Least Concern/ Data Deficient,Myxinidae,?,?,Solitary,?
48,Hedgehog,European Hedgehog,14-30,0.6-1.2,Spiny/ Brown,2-5,Omnivore,Grasslands/ Gardens,Badgers/ Foxes,4-6,Europe/ Asia,Least Concern,Erinaceidae,35,4-6,Solitary,3-7
49,Hippopotamus,Hippopotamus,120-160,1300-3200,Grey,40-50,Herbivore,Rivers/ Lakes,Lions/ Crocodiles,25,Sub-Saharan Africa,Vulnerable,Hippopotamidae,230-250,30,Group-based,1
50,Hornet,Japanese Giant Hornet,35-55,6,Yellow/ Black,3-6,Insectivore/ Carnivore,Mountains/ Forests,Birds/ Bees,40-58,China/ Southeast Asia/ Japan,Not Evaluated,Vespidae,1 week,?,Colony-based,Thousands
51,Horse,Arabian Horse,140-160,1000-380,Various,25-30,Herbivore,North Africa/ Middle East,Predators/ Humans,65,North Africa/ Middle East,Not Applicable,Equidae,330-342,65,Herd-based,1
52,Hummingbird,Hummingbird,13-7.5,2-20,Various,3-5,Insects/ Nectar,Americas,Snakes/ Birds of Prey,40-80,Americas,Least Concern,Trochilidae,13-22,80,Solitary,1-3
53,Husky,Siberian Husky,50-60,16-27,Various,12-14,Carnivore,Cold Regions,Wolves/ Bears,50-65,Alaska/ Siberia,Not Applicable,Canidae,60-63,48,Pack-based,4-6
54,Hyena,Spotted Hyena,70-92,44-64,Yellowish-brown,12-25,Scavenger/ Carnivore,Grasslands/ Savannahs,Lions/ Leopards,56-64,Sub-Saharan Africa,Least Concern,Hyaenidae,110-90,56,Group-based,1-4
55,Ibex,Alpine Ibex,101-67,120-19,Brown,15-20,Herbivore,Alpine/ Mountains,Wolves/ Golden Eagles,56-64,European Alps,Least Concern,Bovidae,150,56-64,Group-based,1
56,Indri,Indri,70,6,White/ Black,15-18,Herbivore,Rainforests,Birds of Prey/ Fossa,24-27,Madagascar,Critically Endangered,Indridae,120-140,24-27,Solitary,1
57,Jay,Blue Jay,22-30,0.07-0.12,White/ Blue,15-6,Omnivore,Forests/ Urban Areas,Snakes/ Birds of Prey,32,North America,Least Concern,Corvidae,17-18,32,Flocks,2-6
58,Kakapo,Kakapo,60,4,Green,60+,Herbivore,Islands/ Forests,Cats/ Rats,2.5,New Zealand,Critically Endangered,Strigopidae,21-24,2.4,Solitary,1-4 (usually 1)
59,Kangaroo,Red Kangaroo/ Tree Kangaroo,140-79,18-95,Red/ Brown,15-23,Herbivore,Grasslands/ Rainforests,Pythons/ Eagles/ Dingoes/ Quolls,30-56,Indonesia/ Australia/ Papua New Guinea,Least Concern/ Endangered,Macropodidae,126-34,30-56,Group-based/ Solitary,1
60,Kiwi,Kiwi,25-46,1.0-3.3,Brown,25-50,Omnivore,Forests,Cats/ Stoats,6.4-9.6,New Zealand,Vulnerable,Apterygidae,63-92,9,Solitary,1
61,Krait,Malayan Krait,150,2.2,Yellow/ Black,10-15,Carnivore,Grasslands/ Forests,Birds/ Mongooses,?,Southeast Asia,Least Concern,Elapidae,180-270,?,Solitary,16-8
62,Lemur,Lemur,30-65,0.6-4.5,Varies/ Various,15-25,Herbivore/ Omnivore,Madagascar/ Forests/ Rainforests,Hawks/ Fossa,24-29,Madagascar,Vulnerable/ Critically Endangered,Lemuridae,120-138,29,Group-based,1-2
63,Leopard,Snow Leopard,50-70,22-75,Grayish-yellow/ Black,10-15,Carnivore,Steppes/ Mountains,Wolves/ Humans,40-60,Central and South Asia,Vulnerable,Felidae,100-90,40-60,Solitary,1-5
64,Lion,African Lion,110-80,120-250,Tan,10-14,Carnivore,Grasslands/ Savannas,Hyenas/ Crocodiles,58,Africa,Vulnerable,Felidae,105-98,80,Group-based,2-4 (usually)
65,Lizard,Frilled Lizard/ Monitor Lizard,244-90,0.5-166,Grey/ Varies/ Brown,10-15,Herbivore/ Insectivore/ Carnivore,Northern Australia/ Various,Snakes/ Birds/ Dingoes,29,Oceania/ Asia/ Australia/ Northern Australia/ Africa,Least Concern/ Varies,Varanidae/ Agamidae,43-49,29,Solitary,25-6
66,Loris,Slow Loris,20-38,0.3-1.6,Yellowish-Brown,20-24,Omnivore,Forests,Snakes/ Birds,?,Southeast Asia,Vulnerable,Lorisidae,23-26,?,Solitary,10
67,Lynx,Iberian Lynx,60-70,14-9,Yellowish-brown,10-13,Carnivore,Mediterranean Scrublands,Wildcats/ Humans,70-80,Spain/ Portugal,Endangered,Felidae,63-67,70-80,Solitary,1-4
68,Lyrebird,Lyrebird,100-80,0.85-1.2,Black/ Grey/ Brown,15-20,Omnivore,Forests/ Rainforests,Birds of Prey/ Dingoes,0.02-0.03,Australia,Least Concern,Menuridae,50-55,?,Solitary,1
69,Macaque,Japanese Macaque/ Barbary Macaque/ Lion-tailed Macaque,45-75,10-5,Black/ Gray/ Brown,20-30,Herbivore/ Omnivore,India/ Western Ghats/ Mountains/ Forests,Tigers/ Eagles/ Leopards/ Humans,30-40,India/ Japan/ North Korea/ Gibraltar/ North Africa/ Middle East/ China,Least Concern/ Endangered,Cercopithecidae,150-200,30-35,Group-based/ Social groups,1
70,Mammoth,Woolly Mammoth,4200,12000,Shaggy/ Brown,?,Herbivore,Tundra,Not Applicable,?,Northern Hemisphere,"Extinct (around 4,000 years ago)",Elephantidae,?,?,Social groups,?
71,Manatee,Manatee,300-400,400-590,Gray/ Brown,40-60,Herbivore,Rivers/ Coastal Areas,Sharks/ Alligators,8,Central/ and South America/ North,Vulnerable,Trichechidae,365-450,8,Solitary,1
72,Mandrill,Mandrill,75,55,Green/ Brown,20-40,Omnivore,Rainforests,Leopards/ Humans,30,Central Africa,Vulnerable,Cercopithecidae,175-190,30,Social groups,1
73,Mantis,Praying Mantis,15,0.02-0.5,Various,12-6,Carnivore,Worldwide,Birds/ Spiders,0.5-0.7,Worldwide,Not Evaluated,Mantidae,10-60,?,Solitary,400
74,Mara,Patagonian Mara,45-75,16-5.5,Gray/ Brown,10-5,Herbivore,Grasslands,Birds of Prey/ Foxes,30,Chile/ Argentina,Least Concern,Caviidae,75-80,30,Group-based,1-3
75,Markhor,Markhor,115,110,Gray/ Brown,10-13,Herbivore,Mountains,Wolves/ Snow Leopards,40-64,Middle East/ South Asia/ Central Asia,Near Threatened,Bovidae,135-170,40-64,Solitary,1-2
76,Mastiff,Tibetan Mastiff,61-78,63-75,Gray/ Brown/ Black,10-12,Omnivore,Human Dwellings,Not Applicable,45,Tibet/ Asia,Not Applicable,Canidae,58-82,45,Social groups,1-10
77,Meerkat,Meerkat,25-35,0.6-1,Tan/ Brown,12-14,Insectivore/ Omnivore,Arid regions,Eagles/ Jackals,32,Africa/ Kalahari Desert,Least Concern,Herpestidae,70-73,32,Social groups,2-5
78,Mole,Star-Nosed Mole,12-20,0.06,Pink/ Black,4,Insectivore,Wetlands/ Forests,Not Applicable,1.2,North America,Least Concern,Talpidae,16-22,1.2,Solitary,10-2
79,Monkey,Spider Monkey/ Proboscis Monkey/ Squirrel Monkey,25-75,0.5-9,Black/ Orange/ Yellowish-Orange/ Brown,15-36,Herbivore/ Omnivore,Mangroves/ Rainforests,Hawks/ Snakes/ Jaguars/ Clouded Leopards/ Pumas,24-45,Central and South America/ Malaysia/ Borneo,Least Concern/ Vulnerable/ Endangered,Cercopithecidae/ Atelidae/ Cebidae,110-200,24-45,Group-based/ Social groups,1-50
80,Monster,Gila Monster,60,2.3,Orange/ Black,20,Carnivore,Deserts/ Scrubland,Birds of Prey/ Coyotes,1-2,Southwestern United States/ Mexico,Least Concern,Helodermatidae,120-150,?,Solitary,?
81,Narwhal,Narwhal,500,1600,Mottled White/ Gray,50-60,Carnivore,Arctic Waters,Polar Bears/ Orcas,45,Arctic,Near Threatened,Monodontidae,14-16 months,45,Solitary,1
82,Nudibranch,Nudibranch,30,1,Various,10,Carnivore,Oceans/ Coral Reefs,Predatory Fish/ Sea Anemones,?,Oceans worldwide,Not Evaluated,Nudibranchia,?,?,Solitary,?
83,Numbat,Numbat,35-45,0.32-1,White/ Red,5,Insectivore,Eucalyptus Forests,Cats/ Foxes,8,Western Australia,Endangered,Myrmecobiidae,14,8,Solitary,4-6
84,Octopus,Blue-Ringed Octopus/ Giant Pacific Octopus,20-5,0.3-25,Red/ Blue/ Brown,3-8 months,Carnivore,Coral Reefs/ Ocean Floor/ Tide Pools,Sharks/ Fish/ Larger Fish,24,Indo-Pacific region/ Pacific Ocean,Data Deficient/ Near Threatened,Octopodidae/ Enteroctopodidae,50-70,24,Solitary,"100-200,000"
85,Okapi,Okapi,200-250,200-350,Dark Brown/ White/ Brown,20-30,Herbivore,Central Africa/ Rainforests,Lions/ Leopards/ Humans,56-58,Democratic Republic of Congo,Endangered,Giraffidae,420-450,58,Solitary,1
86,Orangutan,Sumatran Orangutan/ Bornean Orangutan/ Orangutan,100-96,23-82,Reddish-Brown/ Reddish-brown,30-50,Omnivore,Rainforests,Tigers/ Humans,12-64,Indonesia/ Sumatra/ Malaysia/ Borneo,Critically Endangered,Hominidae,100-90,35-64,Solitary,1
87,Oryx,Arabian Oryx,70-90,65-90,White,10-20,Herbivore,Desert,Lions/ Leopards,55,Middle East,Vulnerable,Bovidae,210-240,55,Herd-based,1
88,Owl,Snowy Owl,52-71,1.6-3.3,White,10-15,Carnivore,Arctic/ North America,Wolves/ Foxes,80,Arctic/ North America,Least Concern,Strigidae,32-34,80,Solitary,11-3
89,Panda,Giant Panda/ Red Panda,50-90,125-70,White/ Reddish-brown/ Black,12-8,Herbivore,Himalayan Foothills/ Temperate Broadleaf Forests,Snow Leopards/ Martens,0.2-32,China/ India/ Bhutan/ Nepal,Endangered,Ursidae/ Ailuridae,112-95,0.2-32,Solitary,1-4
90,Pangolin,Pangolin,100-30,2-40,Yellowish/ Brown,10-20,Insectivore,Grasslands/ Forests,Tigers/ Lions,32,Africa/ Asia,Critically Endangered,Manidae,240-260,32,Solitary,1
91,Penguin,Galápagos Penguin/ GalÃ¡pagos Penguin/ Yellow-Eyed Penguin/ Emperor Penguin,100-65,1-45,Yellow/ White/ Black,15-20,Piscivore/ Carnivore,Antarctic/ Galápagos Islands/ Coastal Areas,Seals/ Leopard Seals/ Orcas/ Sharks/ Birds,2-7,Antarctica/ Galápagos Islands/ New Zealand/ GalÃ¡pagos Islands,Endangered/ Near Threatened,Spheniscidae,38-90,24-9,Colony-based/ Solitary,1
92,Platypus,Platypus,10-15,0.7-2.4,Brown,10-17,Insectivore/ Carnivore,Eastern Australia,Birds of Prey/ Foxes,3-7,Australia,Near Threatened,Ornithorhynchidae,10 days (in burrow),9,Solitary,1-3 (rarely 5)
93,Potoo,Potoo,21-58,0.2-1,Gray/ Brown,10-15,Insectivore/ Carnivore,Woodlands/ Forests,Birds of Prey,16-24,Central and South America,Least Concern,Nyctibiidae,20-30,16-24,Solitary,1
94,Pronghorn,Pronghorn,104-81,40-70,White/ Brown,10-15,Herbivore,Grasslands,Bobcats/ Coyotes,88.5,North America,Least Concern,Antilocapridae,240,88.5,Group-based,1
95,Pufferfish,Pufferfish,60,0.8,Various,10-3,Carnivore,Tropical and Subtropical,Sharks/ Humans,8,Oceans worldwide,Not Evaluated,Tetraodontidae,?,8,Solitary,?
96,Puffin,Tufted Puffin/ Atlantic Puffin,25-41,0.4-620,White/ Black,20-25,Piscivore/ Carnivore,Arctic/ North Atlantic/ Coastal Areas,Falcons/ Birds of Prey/ Eagles/ Gulls,17-50,Arctic/ North Atlantic/ North Pacific,Least Concern/ Vulnerable,Alcidae,122-40,17-80,Social groups/ Colony-based,1
97,Python,Burmese Python,460,90,Black/ Brown,20-25,Carnivore,Grasslands/ Forests,Leopards/ Hawksbills,1.6-2.4,Southeast Asia/ Indonesia/ South Asia,Least Concern,Pythonidae,100-88,1.6-2.4,Solitary,30-80
98,Quokka,Quokka,40-54,2.5-5,Gray/ Brown,10-5,Herbivore,Forests/ Scrublands,Cats/ Foxes,24,Australia,Vulnerable,Macropodidae,25-30,24,Solitary,1
99,Rat,Kangaroo Rat/ Naked Mole Rat,15-9,0.035-80,Wrinkled/ Gray/ Pink/ Brown,2-5,Herbivore/ Insectivore,Deserts/ Underground Tunnels,Birds of Prey/ Snakes/ Humans,0.03-16,East Africa/ North America,Least Concern,Heteromyidae/ Heterocephalidae,22-70,16,Eusocial/ Solitary,2-5
100,Rhino,Sumatran Rhino,100-145,750-950,Reddish-Brown,30-45,Herbivore,Rainforests,Tigers/ Humans,40,Southeast Asia,Critically Endangered,Rhinocerotidae,430-640,40,Solitary,1
101,Rhinoceros,Sumatran Rhinoceros/ Black Rhinoceros/ White Rhinoceros,112-2300,"1,400-950",Gray/ Brown/ Black,35-50,Herbivore,Grasslands/ Forests/ Rainforests,Hyenas/ Lions/ Tigers/ Humans,40-64,Southeast Asia/ Eastern and Southern Africa,Near Threatened/ Critically Endangered,Rhinocerotidae,240-480,40-56,Group-based/ Solitary,1-14
102,Rottweiler,Rottweiler,56-69,36-60,Tan/ Black,10-8,Carnivore,Worldwide,Wolves/ Coyotes,35,Worldwide,Not Applicable,Canidae,61-65,32,Pack-based,12-6
103,Salamander,Chinese Giant Salamander/ Fire Salamander,15-25,55-65,Dark Brown/ Yellow/ Black,10-70,Carnivore,Caves/ Forests/ Freshwater,Foxes/ Birds/ Fish/ Crustaceans,0.8,China/ Europe,Near Threatened/ Critically Endangered,Cryptobranchidae/ Salamandridae,30-60,0.8,Solitary,10-60
104,Saola,Saola,90,100,White/ Brown,21,Herbivore,Forests,Tigers/ Leopards,26,Laos/ Vietnam,Critically Endangered,Bovidae,240,26,Solitary,1
105,Seal,Harp Seal/ Australian Fur Seal,112-180,160-40,Silver/ Gray/ Brown,14-35,Carnivore,Coastal Waters/ Arctic/ Atlantic Ocean,Sharks/ Polar Bears/ Orcas,19-40,Arctic/ Australia/ Atlantic Ocean/ New Zealand,Least Concern,Phocidae/ Otariidae,300-350,24-40,Group-based,1
106,Serval,Serval,54-62,18-8,Yellowish-Tan/ Black,10-12,Carnivore,Grasslands/ Wetlands,Hyenas/ Leopards,44,Africa,Least Concern,Felidae,54-72,44,Solitary,1
107,Shark,Zebra Shark/ Great White Shark/ Basking Shark/ Shortfin Mako Shark/ Goblin Shark/ Whale Shark,1100-670,1500-800,Gray/ Brown/ Yellowish/ Pinkish-gray/ White/ Metallic Blue/ Grey,100-70,Filter Feeder/ Carnivore,Oceans/ Coral Reefs/ Deep-sea,Not Applicable/ Orcas/ Great White Sharks/ Other Sharks/ Larger Sharks/ Larger Fish,1.6-70,Indo-Pacific region/ Oceans worldwide/ Worldwide,Data Deficient/ Vulnerable/ Endangered,Cetorhinidae/ Rhincodontidae/ Lamnidae/ Mitsukurinidae/ Stegostomatidae,10-42 months,14-70,Solitary,1-4
108,Shoebill,Shoebill,110-140,4-6,Grayish-brown,30-35,Carnivore,Swamps/ Marshes,Snakes/ Crocodiles,14-16,Tropical Central Tropical Africa,Vulnerable,Balaenicipitidae,30-35,14-16,Solitary,1-3
109,Shrimp,Peacock Mantis Shrimp/ Mantis Shrimp,18-30,0.4-2.7,Various,20,Carnivore,Coral Reefs,Fish/ Crustaceans/ Larger Fish,30-72,Oceans worldwide/ Indo-Pacific region,Not Evaluated,Gonodactylidae/ Stomatopoda,20-9 weeks,30-72,Solitary,"10,000-Hundreds"
110,Sifaka,Coquerel's Sifaka,40-50,3-6,White/ Black,15-18,Herbivore,Madagascar/ Rainforests,Hawks/ Fossa,30-45,Madagascar,Endangered,Indriidae,140-160,30,Group-based,1
